,Tool,Asymptotic pseudo-auROC value
1210,DimontHTS,0.594
1211,ExplaiNN,0.813
1212,Best,0.945
1213,Dimont,0.994
1214,ChIPMunk,0.761
1215,ProBound,0.995
1216,MEME,0.801
1217,Autoseed,0.957
1218,Homer,0.73
1219,STREME,0.987
1220,DimontHTS,0.724
1221,ExplaiNN,0.782
1222,Best,0.92
1223,Dimont,0.575
1224,ChIPMunk,0.805
1225,ProBound,0.528
1226,MEME,0.985
1227,Autoseed,0.981
1228,Homer,0.944
1229,STREME,0.912
1230,DimontHTS,0.925
1231,ExplaiNN,0.838
1232,Best,0.835
1233,Dimont,0.673
1234,ChIPMunk,0.991
1235,ProBound,0.62
1236,MEME,0.573
1237,Autoseed,0.977
1238,Homer,0.977
1239,STREME,0.96
1240,DimontHTS,0.93
1241,ExplaiNN,0.992
1242,Best,0.927
1243,Dimont,0.946
1244,ChIPMunk,0.561
1245,ProBound,0.941
1246,MEME,0.696
1247,Autoseed,0.845
1248,Homer,0.901
1249,STREME,0.966
1250,DimontHTS,0.903
1251,ExplaiNN,0.451
1252,Best,0.942
1253,Dimont,0.975
1254,ChIPMunk,0.72
1255,ProBound,0.975
1256,MEME,0.951
1257,Autoseed,0.553
1258,Homer,0.944
1259,STREME,0.977
1260,DimontHTS,0.654
1261,ExplaiNN,0.726
1262,Best,0.818
1263,Dimont,0.905
1264,ChIPMunk,0.951
1265,ProBound,0.902
1266,MEME,0.988
1267,Autoseed,0.91
1268,Homer,0.944
1269,STREME,0.464
1270,DimontHTS,0.733
1271,ExplaiNN,0.726
1272,Best,0.939
1273,Dimont,0.959
1274,ChIPMunk,0.988
1275,ProBound,0.892
1276,MEME,0.903
1277,Autoseed,0.618
1278,Homer,0.956
1279,STREME,0.809
1280,DimontHTS,0.619
1281,ExplaiNN,0.737
1282,Best,0.854
1283,Dimont,0.948
1284,ChIPMunk,0.895
1285,ProBound,0.898
1286,MEME,0.799
1287,Autoseed,0.784
1288,Homer,0.38
1289,STREME,0.561
1290,DimontHTS,0.782
1291,ExplaiNN,0.84
1292,Best,0.834
1293,Dimont,0.961
1294,ChIPMunk,0.973
1295,ProBound,0.909
1296,MEME,0.807
1297,Autoseed,0.975
1298,Homer,0.571
1299,STREME,0.894
1300,DimontHTS,0.594
1301,ExplaiNN,0.973
1302,Best,0.958
1303,Dimont,0.436
1304,ChIPMunk,0.975
1305,ProBound,0.58
1306,MEME,0.798
1307,Autoseed,0.809
1308,Homer,0.428
1309,STREME,0.551
1310,DimontHTS,0.894
1311,ExplaiNN,0.974
1312,Best,0.972
1313,Dimont,0.788
1314,ChIPMunk,0.987
1315,ProBound,0.724
1316,MEME,0.419
1317,Autoseed,0.883
1318,Homer,0.916
1319,STREME,0.649
1320,DimontHTS,0.557
1321,ExplaiNN,0.987
1322,Best,0.863
1323,Dimont,0.431
1324,ChIPMunk,0.462
1325,ProBound,0.451
1326,MEME,0.792
1327,Autoseed,0.96
1328,Homer,0.712
1329,STREME,0.954
1330,DimontHTS,0.698
1331,ExplaiNN,0.559
1332,Best,0.839
1333,Dimont,0.904
1334,ChIPMunk,0.725
1335,ProBound,0.877
1336,MEME,0.621
1337,Autoseed,0.855
1338,Homer,0.782
1339,STREME,0.678
1340,DimontHTS,0.981
1341,ExplaiNN,0.519
1342,Best,0.873
1343,Dimont,0.69
1344,ChIPMunk,0.631
1345,ProBound,0.514
1346,MEME,0.895
1347,Autoseed,0.666
1348,Homer,0.974
1349,STREME,0.865
1350,DimontHTS,0.499
1351,ExplaiNN,0.414
1352,Best,0.939
1353,Dimont,0.731
1354,ChIPMunk,0.912
1355,ProBound,0.606
1356,MEME,0.555
1357,Autoseed,0.975
1358,Homer,0.718
1359,STREME,0.953
1360,DimontHTS,0.768
1361,ExplaiNN,0.794
1362,Best,0.875
1363,Dimont,0.979
1364,ChIPMunk,0.683
1365,ProBound,0.975
1366,MEME,0.645
1367,Autoseed,0.861
1368,Homer,0.845
1369,STREME,0.849
1370,DimontHTS,0.86
1371,ExplaiNN,0.52
1372,Best,0.787
1373,Dimont,0.768
1374,ChIPMunk,0.776
1375,ProBound,0.769
1376,MEME,0.961
1377,Autoseed,0.777
1378,Homer,0.929
1379,STREME,0.652
1380,DimontHTS,0.665
1381,ExplaiNN,0.614
1382,Best,0.562
1383,Dimont,0.896
1384,ChIPMunk,0.978
1385,ProBound,0.867
1386,MEME,0.67
1387,Autoseed,0.933
1388,Homer,0.408
1389,STREME,0.967
1390,DimontHTS,0.872
1391,ExplaiNN,0.946
1392,Best,0.962
1393,Dimont,0.969
1394,ChIPMunk,0.784
1395,ProBound,0.958
1396,MEME,0.871
1397,Autoseed,0.964
1398,Homer,0.821
1399,STREME,0.863
1400,DimontHTS,0.777
1401,ExplaiNN,0.765
1402,Best,0.707
1403,Dimont,0.383
1404,ChIPMunk,0.87
1405,ProBound,0.502
1406,MEME,0.959
1407,Autoseed,0.924
1408,Homer,0.681
1409,STREME,0.617
1410,DimontHTS,0.886
1411,ExplaiNN,0.7
1412,Best,0.956
1413,Dimont,0.847
1414,ChIPMunk,0.952
1415,ProBound,0.803
1416,MEME,0.846
1417,Autoseed,0.858
1418,Homer,0.941
1419,STREME,0.935
1420,DimontHTS,0.729
1421,ExplaiNN,0.773
1422,Best,0.681
1423,Dimont,0.769
1424,ChIPMunk,0.35
1425,ProBound,0.698
1426,MEME,0.676
1427,Autoseed,0.816
1428,Homer,0.852
1429,STREME,0.955
1430,DimontHTS,0.914
1431,ExplaiNN,0.461
1432,Best,0.974
1433,Dimont,0.938
1434,ChIPMunk,0.737
1435,ProBound,0.93
1436,MEME,0.952
1437,Autoseed,0.381
1438,Homer,0.654
1439,STREME,0.943
1440,DimontHTS,0.906
1441,ExplaiNN,0.662
1442,Best,0.948
1443,Dimont,0.843
1444,ChIPMunk,0.773
1445,ProBound,0.817
1446,MEME,0.857
1447,Autoseed,0.89
1448,Homer,0.911
1449,STREME,0.636
1450,DimontHTS,0.918
1451,ExplaiNN,0.792
1452,Best,0.868
1453,Dimont,0.647
1454,ChIPMunk,0.783
1455,ProBound,0.428
1456,MEME,0.677
1457,Autoseed,0.614
1458,Homer,0.946
1459,STREME,0.689
1460,DimontHTS,0.794
1461,ExplaiNN,0.791
1462,Best,0.797
1463,Dimont,0.943
1464,ChIPMunk,0.862
1465,ProBound,0.923
1466,MEME,0.924
1467,Autoseed,0.964
1468,Homer,0.959
1469,STREME,0.543
1470,DimontHTS,0.766
1471,ExplaiNN,0.811
1472,Best,0.969
1473,Dimont,0.964
1474,ChIPMunk,0.658
1475,ProBound,0.837
1476,MEME,0.961
1477,Autoseed,0.806
1478,Homer,0.626
1479,STREME,0.656
1480,DimontHTS,0.456
1481,ExplaiNN,0.71
1482,Best,0.964
1483,Dimont,0.961
1484,ChIPMunk,0.922
1485,ProBound,0.966
1486,MEME,0.952
1487,Autoseed,0.53
1488,Homer,0.663
1489,STREME,0.402
1490,DimontHTS,0.601
1491,ExplaiNN,0.91
1492,Best,0.965
1493,Dimont,0.781
1494,ChIPMunk,0.961
1495,ProBound,0.695
1496,MEME,0.787
1497,Autoseed,0.461
1498,Homer,0.613
1499,STREME,0.907
1500,DimontHTS,0.545
1501,ExplaiNN,0.903
1502,Best,0.845
1503,Dimont,0.923
1504,ChIPMunk,0.958
1505,ProBound,0.663
1506,MEME,0.929
1507,Autoseed,0.729
1508,Homer,0.644
1509,STREME,0.809
1510,DimontHTS,0.714
1511,ExplaiNN,0.952
1512,Best,0.67
1513,Dimont,0.38
1514,ChIPMunk,0.413
1515,ProBound,0.341
1516,MEME,0.45
1517,Autoseed,0.374
1518,Homer,0.555
1519,STREME,0.63
1520,DimontHTS,0.88
1521,ExplaiNN,0.847
1522,Best,0.693
1523,Dimont,0.697
1524,ChIPMunk,0.542
1525,ProBound,0.822
1526,MEME,0.676
1527,Autoseed,0.886
1528,Homer,0.938
1529,STREME,0.574
1530,DimontHTS,0.646
1531,ExplaiNN,0.811
1532,Dimont,0.524
1533,ChIPMunk,0.777
1534,ProBound,0.3
1535,MEME,0.419
1536,Autoseed,0.864
1537,Homer,0.845
1538,STREME,0.603
1539,DimontHTS,0.565
1540,ExplaiNN,0.439
1541,Dimont,0.957
1542,ChIPMunk,0.47
1543,ProBound,0.909
1544,MEME,0.954
1545,Autoseed,0.672
1546,Homer,0.5
1547,STREME,0.7
1548,DimontHTS,0.75
1549,ExplaiNN,0.769
1550,Dimont,0.899
1551,ChIPMunk,0.961
1552,ProBound,0.624
1553,MEME,0.831
1554,Autoseed,0.567
1555,Homer,0.485
1556,STREME,0.701
1557,DimontHTS,0.491
1558,ExplaiNN,0.511
1559,Dimont,0.629
1560,ChIPMunk,0.829
1561,ProBound,0.557
1562,MEME,0.588
1563,Autoseed,0.965
1564,Homer,0.626
1565,STREME,0.444
1566,DimontHTS,0.531
1567,ExplaiNN,0.935
1568,Dimont,0.596
1569,ChIPMunk,0.632
1570,ProBound,0.503
1571,MEME,0.517
1572,Autoseed,0.962
1573,Homer,0.694
1574,STREME,0.85
1575,DimontHTS,0.8
1576,ExplaiNN,0.757
1577,Dimont,0.638
1578,ChIPMunk,0.615
1579,ProBound,0.62
1580,MEME,0.648
1581,Autoseed,0.91
1582,Homer,0.666
1583,STREME,0.838
1584,DimontHTS,0.792
1585,ExplaiNN,0.645
1586,Dimont,0.715
1587,ChIPMunk,0.851
1588,ProBound,0.795
1589,MEME,0.721
1590,Autoseed,0.766
1591,Homer,0.64
1592,STREME,0.856
1593,DimontHTS,0.708
1594,ExplaiNN,0.569
1595,Dimont,0.764
1596,ChIPMunk,0.735
1597,ProBound,0.781
1598,MEME,0.738
1599,Autoseed,0.896
1600,Homer,0.858
1601,STREME,0.633
1602,DimontHTS,0.654
1603,ExplaiNN,0.582
1604,Dimont,0.447
1605,ChIPMunk,0.754
1606,ProBound,0.556
1607,MEME,0.9
1608,Autoseed,0.956
1609,Homer,0.802
1610,STREME,0.526
1611,DimontHTS,0.945
1612,ExplaiNN,0.745
1613,Dimont,0.889
1614,ChIPMunk,0.621
1615,ProBound,0.853
1616,MEME,0.843
1617,Autoseed,0.49
1618,Homer,0.849
1619,STREME,0.966
1620,DimontHTS,0.948
1621,ExplaiNN,0.635
1622,Dimont,0.836
1623,ChIPMunk,0.893
1624,ProBound,0.772
1625,MEME,0.881
1626,Autoseed,0.916
1627,Homer,0.606
1628,STREME,0.959
1629,DimontHTS,0.88
1630,ExplaiNN,0.572
1631,Dimont,0.858
1632,ChIPMunk,0.875
1633,ProBound,0.779
1634,MEME,0.634
1635,Autoseed,0.842
1636,Homer,0.519
1637,STREME,0.929
1638,DimontHTS,0.654
1639,ExplaiNN,0.89
1640,Dimont,0.59
1641,ChIPMunk,0.851
1642,ProBound,0.694
1643,MEME,0.574
1644,Autoseed,0.838
1645,Homer,0.944
1646,STREME,0.746
1647,DimontHTS,0.781
1648,ExplaiNN,0.788
1649,Dimont,0.555
1650,ChIPMunk,0.814
1651,ProBound,0.579
1652,MEME,0.946
1653,Autoseed,0.828
1654,Homer,0.941
1655,STREME,0.819
1656,DimontHTS,0.941
1657,ExplaiNN,0.839
1658,Dimont,0.952
1659,ChIPMunk,0.693
1660,ProBound,0.966
1661,MEME,0.942
1662,Autoseed,0.66
1663,Homer,0.847
1664,STREME,0.946
1665,DimontHTS,0.832
1666,ExplaiNN,0.64
1667,Dimont,0.955
1668,ChIPMunk,0.964
1669,ProBound,0.962
1670,MEME,0.911
1671,Autoseed,0.84
1672,Homer,0.822
1673,STREME,0.923
1674,DimontHTS,0.849
1675,ExplaiNN,0.526
1676,Dimont,0.937
1677,ChIPMunk,0.96
1678,ProBound,0.923
1679,MEME,0.745
1680,Autoseed,0.345
1681,Homer,0.809
1682,STREME,0.844
1683,DimontHTS,0.895
1684,ExplaiNN,0.894
1685,Dimont,0.74
1686,ChIPMunk,0.903
1687,ProBound,0.694
1688,MEME,0.808
1689,Autoseed,0.895
1690,Homer,0.771
1691,STREME,0.858
1692,DimontHTS,0.839
1693,ExplaiNN,0.899
1694,Dimont,0.81
1695,ChIPMunk,0.723
1696,ProBound,0.89
1697,MEME,0.933
1698,Autoseed,0.82
1699,Homer,0.528
1700,STREME,0.818
1701,DimontHTS,0.638
1702,ExplaiNN,0.919
1703,Dimont,0.938
1704,ChIPMunk,0.85
1705,ProBound,0.955
1706,MEME,0.827
1707,Autoseed,0.987
1708,Homer,0.875
1709,STREME,0.634
1710,DimontHTS,0.85
1711,ExplaiNN,0.73
1712,Dimont,0.383
1713,ChIPMunk,0.958
1714,ProBound,0.503
1715,MEME,0.844
1716,Autoseed,0.942
1717,Homer,0.894
1718,STREME,0.865
1719,DimontHTS,0.873
1720,ExplaiNN,0.756
1721,Dimont,0.934
1722,ChIPMunk,0.359
1723,ProBound,0.888
1724,MEME,0.863
1725,Autoseed,0.719
1726,Homer,0.903
1727,STREME,0.973
1728,DimontHTS,0.832
1729,ExplaiNN,0.864
1730,Dimont,0.842
1731,ChIPMunk,0.871
1732,ProBound,0.694
1733,MEME,0.831
1734,Autoseed,0.543
1735,Homer,0.819
1736,STREME,0.875
1737,DimontHTS,0.765
1738,ExplaiNN,0.398
1739,Dimont,0.877
1740,ChIPMunk,0.834
1741,ProBound,0.805
1742,MEME,0.631
1743,Autoseed,0.582
1744,Homer,0.642
1745,STREME,0.796
1746,DimontHTS,0.885
1747,ExplaiNN,0.779
1748,Dimont,0.873
1749,ChIPMunk,0.856
1750,ProBound,0.829
1751,MEME,0.848
1752,Autoseed,0.717
1753,Homer,0.82
1754,STREME,0.974
1755,DimontHTS,0.942
1756,ExplaiNN,0.759
1757,Dimont,0.638
1758,ChIPMunk,0.815
1759,ProBound,0.65
1760,MEME,0.969
1761,Autoseed,0.54
1762,Homer,0.973
1763,STREME,0.945
1764,DimontHTS,0.807
1765,ExplaiNN,0.84
1766,Dimont,0.914
1767,ChIPMunk,0.658
1768,ProBound,0.845
1769,MEME,0.876
1770,Autoseed,0.509
1771,Homer,0.841
1772,STREME,0.376
1773,DimontHTS,0.499
1774,ExplaiNN,0.831
1775,Dimont,0.754
1776,ChIPMunk,0.813
1777,ProBound,0.967
1778,MEME,0.795
1779,Autoseed,0.843
1780,Homer,0.795
1781,STREME,0.806
1782,DimontHTS,0.537
1783,ExplaiNN,0.665
1784,Dimont,0.84
1785,ChIPMunk,0.56
1786,ProBound,0.796
1787,MEME,0.988
1788,Autoseed,0.896
1789,Homer,0.965
1790,STREME,0.77
1791,DimontHTS,0.811
1792,ExplaiNN,0.855
1793,Dimont,0.793
1794,ChIPMunk,0.903
1795,ProBound,0.71
1796,MEME,0.938
1797,Autoseed,0.781
1798,Homer,0.944
1799,STREME,0.419
1800,DimontHTS,0.493
1801,ExplaiNN,0.969
1802,Dimont,0.885
1803,ChIPMunk,0.852
1804,ProBound,0.777
1805,MEME,0.494
1806,Autoseed,0.925
1807,Homer,0.503
1808,STREME,0.737
1809,DimontHTS,0.622
1810,ExplaiNN,0.877
1811,Dimont,0.919
1812,ChIPMunk,0.989
1813,ProBound,0.894
1814,MEME,0.829
1815,Autoseed,0.857
1816,Homer,0.834
1817,STREME,0.496
1818,DimontHTS,0.614
1819,ExplaiNN,0.819
1820,Dimont,0.556
1821,ChIPMunk,0.942
1822,ProBound,0.599
1823,MEME,0.805
1824,Autoseed,0.66
1825,Homer,0.815
1826,STREME,0.823
1827,DimontHTS,0.703
1828,ExplaiNN,0.986
1829,Dimont,0.92
1830,ChIPMunk,0.482
1831,ProBound,0.586
1832,MEME,0.48
1833,Autoseed,0.824
1834,Homer,0.514
1835,STREME,0.885
1836,DimontHTS,0.89
1837,ExplaiNN,0.909
1838,Dimont,0.903
1839,ChIPMunk,0.824
1840,ProBound,0.619
1841,MEME,0.682
1842,Autoseed,0.545
1843,Homer,0.52
1844,STREME,0.818
1845,DimontHTS,0.807
1846,ExplaiNN,0.387
1847,Dimont,0.623
1848,ChIPMunk,0.806
1849,ProBound,0.662
1850,MEME,0.545
1851,Autoseed,0.469
1852,Homer,0.631
1853,STREME,0.92
1854,DimontHTS,0.756
1855,ExplaiNN,0.802
1856,Dimont,0.748
1857,ChIPMunk,0.488
1858,ProBound,0.715
1859,MEME,0.867
1860,Autoseed,0.934
1861,Homer,0.844
1862,STREME,0.851
1863,DimontHTS,0.831
1864,ExplaiNN,0.772
1865,Dimont,0.706
1866,ChIPMunk,0.835
1867,ProBound,0.613
1868,MEME,0.906
1869,Autoseed,0.95
1870,Homer,0.882
1871,STREME,0.729
1872,DimontHTS,0.474
1873,ExplaiNN,0.421
1874,Dimont,0.927
1875,ChIPMunk,0.551
1876,ProBound,0.826
1877,MEME,0.812
1878,Autoseed,0.97
1879,Homer,0.777
1880,STREME,0.801
1881,DimontHTS,0.443
1882,ExplaiNN,0.476
1883,Dimont,0.942
1884,ChIPMunk,0.891
1885,ProBound,0.691
1886,MEME,0.921
1887,Autoseed,0.805
1888,Homer,0.936
1889,STREME,0.488
1890,DimontHTS,0.888
1891,ExplaiNN,0.581
1892,Dimont,0.766
1893,ChIPMunk,0.889
1894,ProBound,0.68
1895,MEME,0.857
1896,Autoseed,0.825
1897,Homer,0.872
1898,STREME,0.418
1899,DimontHTS,0.911
1900,ExplaiNN,0.809
1901,Dimont,0.939
1902,ChIPMunk,0.796
1903,ProBound,0.899
1904,MEME,0.825
1905,Autoseed,0.902
1906,Homer,0.846
1907,STREME,0.905
1908,DimontHTS,0.969
1909,ExplaiNN,0.856
1910,Dimont,0.873
1911,ChIPMunk,0.925
1912,ProBound,0.801
1913,MEME,0.805
1914,Autoseed,0.711
1915,Homer,0.813
1916,STREME,0.919
1917,DimontHTS,0.832
1918,ExplaiNN,0.756
1919,Dimont,0.854
1920,ChIPMunk,0.863
1921,ProBound,0.702
1922,MEME,0.492
1923,Autoseed,0.737
1924,Homer,0.497
1925,STREME,0.97
1926,DimontHTS,0.817
1927,ExplaiNN,0.888
1928,Dimont,0.834
1929,ChIPMunk,0.677
1930,ProBound,0.789
1931,MEME,0.409
1932,Autoseed,0.717
1933,Homer,0.45
1934,STREME,0.811
1935,DimontHTS,0.856
1936,ExplaiNN,0.77
1937,Dimont,0.483
1938,ChIPMunk,0.83
1939,ProBound,0.457
1940,MEME,0.937
1941,Autoseed,0.487
1942,Homer,0.934
1943,STREME,0.767
1944,DimontHTS,0.701
1945,ExplaiNN,0.757
1946,Dimont,0.486
1947,ChIPMunk,0.538
1948,ProBound,0.42
1949,MEME,0.958
1950,Autoseed,0.862
1951,Homer,0.95
1952,STREME,0.824
1953,DimontHTS,0.764
1954,ExplaiNN,0.704
1955,Dimont,0.943
1956,ChIPMunk,0.448
1957,ProBound,0.889
1958,MEME,0.968
1959,Autoseed,0.931
1960,Homer,0.965
1961,STREME,0.916
1962,DimontHTS,0.774
1963,ExplaiNN,0.455
1964,Dimont,0.956
1965,ChIPMunk,0.925
1966,ProBound,0.911
1967,MEME,0.833
1968,Autoseed,0.629
1969,Homer,0.813
1970,STREME,0.803
1971,DimontHTS,0.4
1972,ExplaiNN,0.497
1973,Dimont,0.972
1974,ChIPMunk,0.938
1975,ProBound,0.964
1976,MEME,0.77
1977,Autoseed,0.716
1978,Homer,0.766
1979,STREME,0.753
1980,DimontHTS,0.889
1981,ExplaiNN,0.819
1982,Dimont,0.863
1983,ChIPMunk,0.969
1984,ProBound,0.736
1985,MEME,0.815
1986,Autoseed,0.699
1987,Homer,0.8
1988,STREME,0.72
1989,DimontHTS,0.948
1990,ExplaiNN,0.809
1991,Dimont,0.839
1992,ChIPMunk,0.849
1993,ProBound,0.767
1994,MEME,0.916
1995,Autoseed,0.469
1996,Homer,0.906
1997,STREME,0.527
1998,DimontHTS,0.614
1999,ExplaiNN,0.968
2000,Dimont,0.854
2001,ChIPMunk,0.779
2002,ProBound,0.817
2003,MEME,0.764
2004,Autoseed,0.963
2005,Homer,0.761
2006,STREME,0.846
2007,DimontHTS,0.672
2008,ExplaiNN,0.806
2009,Dimont,0.939
2010,ChIPMunk,0.873
2011,ProBound,0.905
2012,MEME,0.706
2013,Autoseed,0.951
2014,Homer,0.716
2015,STREME,0.914
2016,DimontHTS,0.668
2017,ExplaiNN,0.744
2018,Dimont,0.875
2019,ChIPMunk,0.924
2020,ProBound,0.832
2021,MEME,0.685
2022,Autoseed,0.902
2023,Homer,0.489
2024,STREME,0.487
2025,DimontHTS,0.491
2026,ExplaiNN,0.77
2027,Dimont,0.766
2028,ChIPMunk,0.744
2029,ProBound,0.761
2030,MEME,0.485
2031,Autoseed,0.945
2032,Homer,0.86
2033,STREME,0.927
2034,DimontHTS,0.948
2035,ExplaiNN,0.782
2036,Dimont,0.748
2037,ChIPMunk,0.787
2038,ProBound,0.737
2039,MEME,0.845
2040,Autoseed,0.79
2041,Homer,0.845
2042,STREME,0.939
2043,DimontHTS,0.933
2044,ExplaiNN,0.828
2045,Dimont,0.407
2046,ChIPMunk,0.766
2047,ProBound,0.386
2048,MEME,0.929
2049,Autoseed,0.634
2050,Homer,0.609
2051,STREME,0.515
2052,DimontHTS,0.802
2053,ExplaiNN,0.641
2054,Dimont,0.906
2055,ChIPMunk,0.562
2056,ProBound,0.789
2057,MEME,0.477
2058,Autoseed,0.963
2059,Homer,0.899
2060,STREME,0.961
2061,DimontHTS,0.91
2062,ExplaiNN,0.715
2063,Dimont,0.962
2064,ChIPMunk,0.892
2065,ProBound,0.845
2066,MEME,0.937
2067,Autoseed,0.964
2068,Homer,0.915
2069,STREME,0.951
2070,DimontHTS,0.809
2071,ExplaiNN,0.449
2072,Dimont,0.707
2073,ChIPMunk,0.926
2074,ProBound,0.393
2075,MEME,0.941
2076,Autoseed,0.892
2077,Homer,0.484
2078,STREME,0.912
2079,DimontHTS,0.551
2080,ExplaiNN,0.878
2081,Dimont,0.948
2082,ChIPMunk,0.561
2083,ProBound,0.817
2084,MEME,0.499
2085,Autoseed,0.958
2086,Homer,0.957
2087,STREME,0.948
2088,DimontHTS,0.889
2089,ExplaiNN,0.921
2090,Dimont,0.956
2091,ChIPMunk,0.917
2092,ProBound,0.838
2093,MEME,0.966
2094,Autoseed,0.337
2095,Homer,0.95
2096,STREME,0.812
2097,DimontHTS,0.914
2098,ExplaiNN,0.652
2099,Dimont,0.496
2100,ChIPMunk,0.925
2101,ProBound,0.464
2102,MEME,0.95
2103,Autoseed,0.565
2104,Homer,0.901
2105,STREME,0.644
2106,DimontHTS,0.783
2107,ExplaiNN,0.566
2108,Dimont,0.974
2109,ChIPMunk,0.681
2110,ProBound,0.948
2111,MEME,0.918
2112,Autoseed,0.692
2113,Homer,0.943
2114,STREME,0.909
2115,DimontHTS,0.894
2116,ExplaiNN,0.565
2117,Dimont,0.948
2118,ChIPMunk,0.973
2119,ProBound,0.926
2120,MEME,0.941
2121,Autoseed,0.464
2122,Homer,0.785
2123,STREME,0.931
2124,DimontHTS,0.481
2125,ExplaiNN,0.593
2126,Dimont,0.885
2127,ChIPMunk,0.952
2128,ProBound,0.904
2129,MEME,0.81
2130,Homer,0.797
2131,STREME,0.881
2132,DimontHTS,0.657
2133,ExplaiNN,0.943
2134,Dimont,0.912
2135,ChIPMunk,0.913
2136,ProBound,0.923
2137,MEME,0.624
2138,Homer,0.958
2139,STREME,0.956
2140,DimontHTS,0.666
2141,ExplaiNN,0.927
2142,Dimont,0.868
2143,ChIPMunk,0.943
2144,ProBound,0.836
2145,MEME,0.956
2146,Homer,0.959
2147,STREME,0.373
2148,ExplaiNN,0.699
2149,Dimont,0.57
2150,ChIPMunk,0.819
2151,ProBound,0.602
2152,MEME,0.965
2153,Homer,0.929
2154,STREME,0.56
2155,ExplaiNN,0.803
2156,Dimont,0.958
2157,ChIPMunk,0.626
2158,ProBound,0.847
2159,MEME,0.881
2160,Homer,0.95
2161,STREME,0.724
2162,ExplaiNN,0.865
2163,Dimont,0.962
2164,ChIPMunk,0.959
2165,ProBound,0.855
2166,MEME,0.958
2167,Homer,0.326
2168,STREME,0.526
2169,ExplaiNN,0.687
2170,Dimont,0.964
2171,ChIPMunk,0.969
2172,ProBound,0.828
2173,MEME,0.368
2174,Homer,0.515
2175,ExplaiNN,0.954
2176,Dimont,0.962
2177,ChIPMunk,0.934
2178,ProBound,0.943
2179,MEME,0.564
2180,Homer,0.722
2181,ExplaiNN,0.96
2182,Dimont,0.366
2183,ChIPMunk,0.965
2184,ProBound,0.507
2185,MEME,0.734
2186,Homer,0.445
2187,ExplaiNN,0.79
2188,Dimont,0.553
2189,ChIPMunk,0.399
2190,ProBound,0.708
2191,MEME,0.531
2192,ExplaiNN,0.951
2193,Dimont,0.684
2194,ChIPMunk,0.589
2195,ProBound,0.431
2196,ExplaiNN,0.554
2197,Dimont,0.659
2198,ChIPMunk,0.845
2199,ExplaiNN,0.613
2200,ChIPMunk,0.604
2201,ExplaiNN,0.639
2202,ExplaiNN,0.67
