,Tool,auROC value
1214,ExplaiNN,0.776
1215,Best,0.962
1216,Dimont,0.816
1217,ChIPMunk,0.761
1218,ProBound,0.757
1219,MEME,0.777
1220,Autoseed,0.956
1221,Homer,0.729
1222,STREME,0.765
1223,DimontHTS,0.834
1224,ExplaiNN,0.767
1225,Best,0.96
1226,Dimont,0.798
1227,ChIPMunk,0.795
1228,ProBound,0.729
1229,MEME,0.805
1230,Autoseed,0.983
1231,Homer,0.76
1232,STREME,0.787
1233,DimontHTS,0.794
1234,ExplaiNN,0.784
1235,Best,0.986
1236,Dimont,0.993
1237,ChIPMunk,0.989
1238,ProBound,0.992
1239,MEME,0.985
1240,Autoseed,0.94
1241,Homer,0.99
1242,STREME,0.989
1243,DimontHTS,0.945
1244,ExplaiNN,0.99
1245,Best,0.929
1246,Dimont,0.857
1247,ChIPMunk,0.761
1248,ProBound,0.841
1249,MEME,0.787
1250,Autoseed,0.927
1251,Homer,0.796
1252,STREME,0.77
1253,DimontHTS,0.961
1254,ExplaiNN,0.723
1255,Best,0.971
1256,Dimont,0.836
1257,ChIPMunk,0.794
1258,ProBound,0.776
1259,MEME,0.805
1260,Autoseed,0.956
1261,Homer,0.798
1262,STREME,0.812
1263,DimontHTS,0.959
1264,ExplaiNN,0.763
1265,Best,0.918
1266,Dimont,0.95
1267,ChIPMunk,0.955
1268,ProBound,0.922
1269,MEME,0.958
1270,Autoseed,0.95
1271,Homer,0.948
1272,STREME,0.951
1273,DimontHTS,0.917
1274,ExplaiNN,0.741
1275,Best,0.882
1276,Dimont,0.98
1277,ChIPMunk,0.987
1278,ProBound,0.955
1279,MEME,0.987
1280,Autoseed,0.878
1281,Homer,0.981
1282,STREME,0.989
1283,DimontHTS,0.946
1284,ExplaiNN,0.781
1285,Best,0.956
1286,Dimont,0.96
1287,ChIPMunk,0.94
1288,ProBound,0.952
1289,MEME,0.938
1290,Autoseed,0.649
1291,Homer,0.949
1292,STREME,0.944
1293,DimontHTS,0.938
1294,ExplaiNN,0.938
1295,Best,0.926
1296,Dimont,0.958
1297,ChIPMunk,0.94
1298,ProBound,0.93
1299,MEME,0.929
1300,Autoseed,0.906
1301,Homer,0.949
1302,STREME,0.931
1303,DimontHTS,0.737
1304,ExplaiNN,0.945
1305,Best,0.844
1306,Dimont,0.95
1307,ChIPMunk,0.953
1308,ProBound,0.934
1309,MEME,0.938
1310,Autoseed,0.681
1311,Homer,0.95
1312,STREME,0.946
1313,DimontHTS,0.678
1314,ExplaiNN,0.954
1315,Best,0.969
1316,Dimont,0.966
1317,ChIPMunk,0.954
1318,ProBound,0.948
1319,MEME,0.952
1320,Autoseed,0.783
1321,Homer,0.958
1322,STREME,0.949
1323,DimontHTS,0.908
1324,ExplaiNN,0.956
1325,Best,0.976
1326,Dimont,0.51
1327,ChIPMunk,0.475
1328,ProBound,0.737
1329,MEME,0.521
1330,Autoseed,0.989
1331,Homer,0.52
1332,STREME,0.495
1333,DimontHTS,0.593
1334,ExplaiNN,0.489
1335,Best,0.912
1336,Dimont,0.854
1337,ChIPMunk,0.66
1338,ProBound,0.866
1339,MEME,0.757
1340,Autoseed,0.828
1341,Homer,0.618
1342,STREME,0.82
1343,DimontHTS,0.726
1344,ExplaiNN,0.536
1345,Best,0.829
1346,Dimont,0.55
1347,ChIPMunk,0.453
1348,ProBound,0.735
1349,MEME,0.535
1350,Autoseed,0.886
1351,Homer,0.482
1352,STREME,0.548
1353,DimontHTS,0.993
1354,ExplaiNN,0.446
1355,Best,0.93
1356,Dimont,0.925
1357,ChIPMunk,0.904
1358,ProBound,0.894
1359,MEME,0.825
1360,Autoseed,0.97
1361,Homer,0.9
1362,STREME,0.89
1363,DimontHTS,0.624
1364,ExplaiNN,0.767
1365,Best,0.949
1366,Dimont,0.516
1367,ChIPMunk,0.591
1368,ProBound,0.528
1369,MEME,0.492
1370,Autoseed,0.806
1371,Homer,0.612
1372,STREME,0.543
1373,DimontHTS,0.796
1374,ExplaiNN,0.441
1375,Best,0.896
1376,Dimont,0.705
1377,ChIPMunk,0.729
1378,ProBound,0.661
1379,MEME,0.687
1380,Autoseed,0.632
1381,Homer,0.743
1382,STREME,0.683
1383,DimontHTS,0.874
1384,ExplaiNN,0.561
1385,Best,0.808
1386,Dimont,0.99
1387,ChIPMunk,0.994
1388,ProBound,0.991
1389,MEME,0.992
1390,Autoseed,0.781
1391,Homer,0.991
1392,STREME,0.992
1393,DimontHTS,0.637
1394,ExplaiNN,0.99
1395,Best,0.849
1396,Dimont,0.806
1397,ChIPMunk,0.789
1398,ProBound,0.78
1399,MEME,0.642
1400,Autoseed,0.892
1401,Homer,0.736
1402,STREME,0.691
1403,DimontHTS,0.826
1404,ExplaiNN,0.805
1405,Best,0.965
1406,Dimont,0.901
1407,ChIPMunk,0.885
1408,ProBound,0.888
1409,MEME,0.888
1410,Autoseed,0.817
1411,Homer,0.867
1412,STREME,0.889
1413,DimontHTS,0.639
1414,ExplaiNN,0.764
1415,Best,0.828
1416,Dimont,0.966
1417,ChIPMunk,0.954
1418,ProBound,0.966
1419,MEME,0.967
1420,Autoseed,0.934
1421,Homer,0.941
1422,STREME,0.967
1423,DimontHTS,0.865
1424,ExplaiNN,0.836
1425,Best,0.985
1426,Dimont,0.551
1427,ChIPMunk,0.344
1428,ProBound,0.789
1429,MEME,0.49
1430,Autoseed,0.967
1431,Homer,0.351
1432,STREME,0.312
1433,DimontHTS,0.783
1434,ExplaiNN,0.527
1435,Best,0.747
1436,Dimont,0.809
1437,ChIPMunk,0.682
1438,ProBound,0.783
1439,MEME,0.795
1440,Autoseed,0.963
1441,Homer,0.78
1442,STREME,0.808
1443,DimontHTS,0.936
1444,ExplaiNN,0.595
1445,Best,0.972
1446,Dimont,0.751
1447,ChIPMunk,0.708
1448,ProBound,0.649
1449,MEME,0.628
1450,Autoseed,0.765
1451,Homer,0.652
1452,STREME,0.658
1453,DimontHTS,0.938
1454,ExplaiNN,0.738
1455,Best,0.95
1456,Dimont,0.862
1457,ChIPMunk,0.75
1458,ProBound,0.735
1459,MEME,0.792
1460,Autoseed,0.648
1461,Homer,0.745
1462,STREME,0.777
1463,DimontHTS,0.965
1464,ExplaiNN,0.639
1465,Best,0.925
1466,Dimont,0.896
1467,ChIPMunk,0.889
1468,ProBound,0.884
1469,MEME,0.904
1470,Autoseed,0.448
1471,Homer,0.893
1472,STREME,0.889
1473,DimontHTS,0.641
1474,ExplaiNN,0.752
1475,Best,0.715
1476,Dimont,0.752
1477,ChIPMunk,0.753
1478,ProBound,0.736
1479,MEME,0.752
1480,Autoseed,0.901
1481,Homer,0.737
1482,STREME,0.729
1483,DimontHTS,0.622
1484,ExplaiNN,0.708
1485,Best,0.976
1486,Dimont,0.954
1487,ChIPMunk,0.926
1488,ProBound,0.931
1489,MEME,0.915
1490,Autoseed,0.773
1491,Homer,0.915
1492,STREME,0.926
1493,DimontHTS,0.349
1494,ExplaiNN,0.909
1495,Best,0.977
1496,Dimont,0.972
1497,ChIPMunk,0.963
1498,ProBound,0.886
1499,MEME,0.953
1500,Autoseed,0.964
1501,Homer,0.951
1502,STREME,0.954
1503,DimontHTS,0.644
1504,ExplaiNN,0.905
1505,Best,0.968
1506,Dimont,0.968
1507,ChIPMunk,0.97
1508,ProBound,0.974
1509,MEME,0.969
1510,Autoseed,0.905
1511,Homer,0.971
1512,STREME,0.966
1513,DimontHTS,0.62
1514,ExplaiNN,0.964
1515,Best,0.817
1516,Dimont,0.662
1517,ChIPMunk,0.631
1518,ProBound,0.689
1519,MEME,0.615
1520,Autoseed,0.821
1521,Homer,0.639
1522,STREME,0.591
1523,DimontHTS,0.803
1524,ExplaiNN,0.746
1525,Best,0.72
1526,Dimont,0.677
1527,ChIPMunk,0.572
1528,ProBound,0.664
1529,MEME,0.641
1530,Autoseed,0.775
1531,Homer,0.635
1532,STREME,0.604
1533,DimontHTS,0.95
1534,ExplaiNN,0.68
1535,Dimont,0.399
1536,ChIPMunk,0.306
1537,ProBound,0.715
1538,MEME,0.33
1539,Autoseed,0.742
1540,Homer,0.429
1541,STREME,0.432
1542,DimontHTS,0.933
1543,ExplaiNN,0.482
1544,Dimont,0.704
1545,ChIPMunk,0.706
1546,ProBound,0.831
1547,MEME,0.687
1548,Autoseed,0.47
1549,Homer,0.658
1550,STREME,0.666
1551,DimontHTS,0.869
1552,ExplaiNN,0.763
1553,Dimont,0.775
1554,ChIPMunk,0.536
1555,ProBound,0.494
1556,MEME,0.486
1557,Autoseed,0.907
1558,Homer,0.625
1559,STREME,0.465
1560,DimontHTS,0.749
1561,ExplaiNN,0.587
1562,Dimont,0.956
1563,ChIPMunk,0.956
1564,ProBound,0.908
1565,MEME,0.952
1566,Autoseed,0.893
1567,Homer,0.931
1568,STREME,0.927
1569,DimontHTS,0.757
1570,ExplaiNN,0.945
1571,Dimont,0.965
1572,ChIPMunk,0.934
1573,ProBound,0.829
1574,MEME,0.921
1575,Autoseed,0.72
1576,Homer,0.953
1577,STREME,0.935
1578,DimontHTS,0.914
1579,ExplaiNN,0.904
1580,Dimont,0.802
1581,ChIPMunk,0.813
1582,ProBound,0.92
1583,MEME,0.88
1584,Autoseed,0.56
1585,Homer,0.865
1586,STREME,0.827
1587,DimontHTS,0.865
1588,ExplaiNN,0.911
1589,Dimont,0.752
1590,ChIPMunk,0.758
1591,ProBound,0.866
1592,MEME,0.822
1593,Autoseed,0.961
1594,Homer,0.81
1595,STREME,0.776
1596,DimontHTS,0.849
1597,ExplaiNN,0.845
1598,Dimont,0.773
1599,ChIPMunk,0.768
1600,ProBound,0.751
1601,MEME,0.626
1602,Autoseed,0.951
1603,Homer,0.615
1604,STREME,0.597
1605,DimontHTS,0.767
1606,ExplaiNN,0.543
1607,Dimont,0.79
1608,ChIPMunk,0.757
1609,ProBound,0.925
1610,MEME,0.741
1611,Autoseed,0.96
1612,Homer,0.726
1613,STREME,0.731
1614,DimontHTS,0.55
1615,ExplaiNN,0.763
1616,Dimont,0.757
1617,ChIPMunk,0.735
1618,ProBound,0.743
1619,MEME,0.758
1620,Autoseed,0.812
1621,Homer,0.687
1622,STREME,0.728
1623,DimontHTS,0.89
1624,ExplaiNN,0.692
1625,Dimont,0.614
1626,ChIPMunk,0.63
1627,ProBound,0.783
1628,MEME,0.929
1629,Autoseed,0.886
1630,Homer,0.642
1631,STREME,0.391
1632,DimontHTS,0.894
1633,ExplaiNN,0.457
1634,Dimont,0.936
1635,ChIPMunk,0.929
1636,ProBound,0.934
1637,MEME,0.876
1638,Autoseed,0.949
1639,Homer,0.923
1640,STREME,0.917
1641,DimontHTS,0.93
1642,ExplaiNN,0.923
1643,Dimont,0.893
1644,ChIPMunk,0.885
1645,ProBound,0.831
1646,MEME,0.902
1647,Autoseed,0.58
1648,Homer,0.84
1649,STREME,0.869
1650,DimontHTS,0.566
1651,ExplaiNN,0.842
1652,Dimont,0.911
1653,ChIPMunk,0.866
1654,ProBound,0.839
1655,MEME,0.672
1656,Autoseed,0.881
1657,Homer,0.881
1658,STREME,0.888
1659,DimontHTS,0.804
1660,ExplaiNN,0.881
1661,Dimont,0.68
1662,ChIPMunk,0.746
1663,ProBound,0.77
1664,MEME,0.433
1665,Autoseed,0.79
1666,Homer,0.616
1667,STREME,0.666
1668,DimontHTS,0.937
1669,ExplaiNN,0.627
1670,Dimont,0.411
1671,ChIPMunk,0.439
1672,ProBound,0.742
1673,MEME,0.963
1674,Autoseed,0.829
1675,Homer,0.357
1676,STREME,0.363
1677,DimontHTS,0.31
1678,ExplaiNN,0.406
1679,Dimont,0.963
1680,ChIPMunk,0.963
1681,ProBound,0.964
1682,MEME,0.95
1683,Autoseed,0.882
1684,Homer,0.959
1685,STREME,0.963
1686,DimontHTS,0.866
1687,ExplaiNN,0.865
1688,Dimont,0.954
1689,ChIPMunk,0.954
1690,ProBound,0.956
1691,MEME,0.958
1692,Autoseed,0.697
1693,Homer,0.95
1694,STREME,0.951
1695,DimontHTS,0.809
1696,ExplaiNN,0.869
1697,Dimont,0.976
1698,ChIPMunk,0.952
1699,ProBound,0.972
1700,MEME,0.632
1701,Autoseed,0.877
1702,Homer,0.964
1703,STREME,0.964
1704,DimontHTS,0.858
1705,ExplaiNN,0.957
1706,Dimont,0.782
1707,ChIPMunk,0.637
1708,ProBound,0.825
1709,MEME,0.861
1710,Autoseed,0.675
1711,Homer,0.773
1712,STREME,0.64
1713,DimontHTS,0.901
1714,ExplaiNN,0.587
1715,Dimont,0.852
1716,ChIPMunk,0.838
1717,ProBound,0.888
1718,MEME,0.935
1719,Autoseed,0.947
1720,Homer,0.833
1721,STREME,0.826
1722,DimontHTS,0.67
1723,ExplaiNN,0.76
1724,Dimont,0.949
1725,ChIPMunk,0.949
1726,ProBound,0.945
1727,MEME,0.37
1728,Autoseed,0.924
1729,Homer,0.825
1730,STREME,0.934
1731,DimontHTS,0.912
1732,ExplaiNN,0.868
1733,Dimont,0.409
1734,ChIPMunk,0.4
1735,ProBound,0.695
1736,MEME,0.85
1737,Autoseed,0.958
1738,Homer,0.622
1739,STREME,0.35
1740,DimontHTS,0.62
1741,ExplaiNN,0.353
1742,Dimont,0.896
1743,ChIPMunk,0.82
1744,ProBound,0.889
1745,MEME,0.809
1746,Autoseed,0.951
1747,Homer,0.858
1748,STREME,0.894
1749,DimontHTS,0.906
1750,ExplaiNN,0.887
1751,Dimont,0.849
1752,ChIPMunk,0.817
1753,ProBound,0.818
1754,MEME,0.86
1755,Autoseed,0.779
1756,Homer,0.826
1757,STREME,0.801
1758,DimontHTS,0.915
1759,ExplaiNN,0.73
1760,Dimont,0.885
1761,ChIPMunk,0.861
1762,ProBound,0.848
1763,MEME,0.897
1764,Autoseed,0.698
1765,Homer,0.874
1766,STREME,0.846
1767,DimontHTS,0.958
1768,ExplaiNN,0.869
1769,Dimont,0.917
1770,ChIPMunk,0.884
1771,ProBound,0.865
1772,MEME,0.706
1773,Autoseed,0.71
1774,Homer,0.891
1775,STREME,0.89
1776,DimontHTS,0.96
1777,ExplaiNN,0.866
1778,Dimont,0.687
1779,ChIPMunk,0.71
1780,ProBound,0.67
1781,MEME,0.905
1782,Autoseed,0.85
1783,Homer,0.673
1784,STREME,0.715
1785,DimontHTS,0.844
1786,ExplaiNN,0.691
1787,Dimont,0.933
1788,ChIPMunk,0.878
1789,ProBound,0.834
1790,MEME,0.673
1791,Autoseed,0.732
1792,Homer,0.874
1793,STREME,0.93
1794,DimontHTS,0.614
1795,ExplaiNN,0.898
1796,Dimont,0.672
1797,ChIPMunk,0.661
1798,ProBound,0.697
1799,MEME,0.94
1800,Autoseed,0.585
1801,Homer,0.653
1802,STREME,0.652
1803,DimontHTS,0.63
1804,ExplaiNN,0.626
1805,Dimont,0.948
1806,ChIPMunk,0.944
1807,ProBound,0.896
1808,MEME,0.919
1809,Autoseed,0.918
1810,Homer,0.936
1811,STREME,0.93
1812,DimontHTS,0.948
1813,ExplaiNN,0.927
1814,Dimont,0.95
1815,ChIPMunk,0.934
1816,ProBound,0.899
1817,MEME,0.953
1818,Autoseed,0.907
1819,Homer,0.936
1820,STREME,0.896
1821,DimontHTS,0.538
1822,ExplaiNN,0.92
1823,Dimont,0.962
1824,ChIPMunk,0.955
1825,ProBound,0.96
1826,MEME,0.951
1827,Autoseed,0.833
1828,Homer,0.953
1829,STREME,0.951
1830,DimontHTS,0.389
1831,ExplaiNN,0.951
1832,Dimont,0.954
1833,ChIPMunk,0.948
1834,ProBound,0.953
1835,MEME,0.397
1836,Autoseed,0.932
1837,Homer,0.938
1838,STREME,0.94
1839,DimontHTS,0.841
1840,ExplaiNN,0.935
1841,Dimont,0.566
1842,ChIPMunk,0.399
1843,ProBound,0.729
1844,MEME,0.831
1845,Autoseed,0.862
1846,Homer,0.428
1847,STREME,0.37
1848,DimontHTS,0.917
1849,ExplaiNN,0.391
1850,Dimont,0.965
1851,ChIPMunk,0.828
1852,ProBound,0.975
1853,MEME,0.861
1854,Autoseed,0.865
1855,Homer,0.831
1856,STREME,0.82
1857,DimontHTS,0.848
1858,ExplaiNN,0.824
1859,Dimont,0.976
1860,ChIPMunk,0.86
1861,ProBound,0.986
1862,MEME,0.465
1863,Autoseed,0.801
1864,Homer,0.859
1865,STREME,0.857
1866,DimontHTS,0.919
1867,ExplaiNN,0.858
1868,Dimont,0.726
1869,ChIPMunk,0.461
1870,ProBound,0.901
1871,MEME,0.929
1872,Autoseed,0.582
1873,Homer,0.461
1874,STREME,0.464
1875,DimontHTS,0.812
1876,ExplaiNN,0.461
1877,Dimont,0.856
1878,ChIPMunk,0.878
1879,ProBound,0.806
1880,MEME,0.684
1881,Autoseed,0.481
1882,Homer,0.656
1883,STREME,0.855
1884,DimontHTS,0.563
1885,ExplaiNN,0.484
1886,Dimont,0.815
1887,ChIPMunk,0.704
1888,ProBound,0.761
1889,MEME,0.949
1890,Autoseed,0.895
1891,Homer,0.685
1892,STREME,0.614
1893,DimontHTS,0.461
1894,ExplaiNN,0.585
1895,Dimont,0.971
1896,ChIPMunk,0.956
1897,ProBound,0.929
1898,MEME,0.917
1899,Autoseed,0.914
1900,Homer,0.92
1901,STREME,0.917
1902,DimontHTS,0.915
1903,ExplaiNN,0.905
1904,Dimont,0.91
1905,ChIPMunk,0.918
1906,ProBound,0.862
1907,MEME,0.864
1908,Autoseed,0.971
1909,Homer,0.906
1910,STREME,0.893
1911,DimontHTS,0.939
1912,ExplaiNN,0.909
1913,Dimont,0.882
1914,ChIPMunk,0.853
1915,ProBound,0.882
1916,MEME,0.93
1917,Autoseed,0.863
1918,Homer,0.861
1919,STREME,0.849
1920,DimontHTS,0.968
1921,ExplaiNN,0.829
1922,Dimont,0.956
1923,ChIPMunk,0.934
1924,ProBound,0.929
1925,MEME,0.872
1926,Autoseed,0.9
1927,Homer,0.941
1928,STREME,0.928
1929,DimontHTS,0.849
1930,ExplaiNN,0.908
1931,Dimont,0.917
1932,ChIPMunk,0.874
1933,ProBound,0.901
1934,MEME,0.911
1935,Autoseed,0.893
1936,Homer,0.882
1937,STREME,0.867
1938,DimontHTS,0.895
1939,ExplaiNN,0.811
1940,Dimont,0.926
1941,ChIPMunk,0.895
1942,ProBound,0.912
1943,MEME,0.805
1944,Autoseed,0.844
1945,Homer,0.91
1946,STREME,0.87
1947,DimontHTS,0.803
1948,ExplaiNN,0.845
1949,Dimont,0.844
1950,ChIPMunk,0.806
1951,ProBound,0.809
1952,MEME,0.559
1953,Autoseed,0.738
1954,Homer,0.805
1955,STREME,0.811
1956,DimontHTS,0.852
1957,ExplaiNN,0.751
1958,Dimont,0.59
1959,ChIPMunk,0.571
1960,ProBound,0.571
1961,MEME,0.444
1962,Autoseed,0.736
1963,Homer,0.569
1964,STREME,0.551
1965,DimontHTS,0.613
1966,ExplaiNN,0.518
1967,Dimont,0.527
1968,ChIPMunk,0.45
1969,ProBound,0.515
1970,MEME,0.933
1971,Autoseed,0.689
1972,Homer,0.452
1973,STREME,0.465
1974,DimontHTS,0.702
1975,ExplaiNN,0.443
1976,Dimont,0.954
1977,ChIPMunk,0.941
1978,ProBound,0.91
1979,MEME,0.959
1980,Autoseed,0.88
1981,Homer,0.928
1982,STREME,0.933
1983,DimontHTS,0.804
1984,ExplaiNN,0.876
1985,Dimont,0.969
1986,ChIPMunk,0.952
1987,ProBound,0.937
1988,MEME,0.976
1989,Autoseed,0.947
1990,Homer,0.951
1991,STREME,0.946
1992,DimontHTS,0.903
1993,ExplaiNN,0.885
1994,Dimont,0.976
1995,ChIPMunk,0.976
1996,ProBound,0.967
1997,MEME,0.883
1998,Autoseed,0.726
1999,Homer,0.967
2000,STREME,0.972
2001,DimontHTS,0.963
2002,ExplaiNN,0.97
2003,Dimont,0.912
2004,ChIPMunk,0.873
2005,ProBound,0.848
2006,MEME,0.713
2007,Autoseed,0.782
2008,Homer,0.856
2009,STREME,0.861
2010,DimontHTS,0.584
2011,ExplaiNN,0.842
2012,Dimont,0.829
2013,ChIPMunk,0.719
2014,ProBound,0.797
2015,MEME,0.898
2016,Autoseed,0.751
2017,Homer,0.709
2018,STREME,0.725
2019,DimontHTS,0.776
2020,ExplaiNN,0.61
2021,Dimont,0.93
2022,ChIPMunk,0.905
2023,ProBound,0.898
2024,MEME,0.931
2025,Autoseed,0.669
2026,Homer,0.874
2027,STREME,0.879
2028,DimontHTS,0.771
2029,ExplaiNN,0.864
2030,Dimont,0.949
2031,ChIPMunk,0.924
2032,ProBound,0.916
2033,MEME,0.858
2034,Autoseed,0.961
2035,Homer,0.91
2036,STREME,0.923
2037,DimontHTS,0.654
2038,ExplaiNN,0.742
2039,Dimont,0.896
2040,ChIPMunk,0.847
2041,ProBound,0.881
2042,MEME,0.759
2043,Autoseed,0.944
2044,Homer,0.861
2045,STREME,0.86
2046,DimontHTS,0.941
2047,ExplaiNN,0.822
2048,Dimont,0.808
2049,ChIPMunk,0.772
2050,ProBound,0.704
2051,MEME,0.729
2052,Autoseed,0.879
2053,Homer,0.772
2054,STREME,0.775
2055,DimontHTS,0.925
2056,ExplaiNN,0.658
2057,Dimont,0.778
2058,ChIPMunk,0.756
2059,ProBound,0.73
2060,MEME,0.753
2061,Autoseed,0.95
2062,Homer,0.74
2063,STREME,0.734
2064,DimontHTS,0.802
2065,ExplaiNN,0.744
2066,Dimont,0.84
2067,ChIPMunk,0.717
2068,ProBound,0.849
2069,MEME,0.877
2070,Autoseed,0.797
2071,Homer,0.819
2072,STREME,0.72
2073,DimontHTS,0.938
2074,ExplaiNN,0.668
2075,Dimont,0.928
2076,ChIPMunk,0.897
2077,ProBound,0.874
2078,MEME,0.944
2079,Autoseed,0.638
2080,Homer,0.863
2081,STREME,0.874
2082,DimontHTS,0.877
2083,ExplaiNN,0.88
2084,Dimont,0.965
2085,ChIPMunk,0.935
2086,ProBound,0.885
2087,MEME,0.627
2088,Autoseed,0.96
2089,Homer,0.836
2090,STREME,0.933
2091,DimontHTS,0.592
2092,ExplaiNN,0.926
2093,Dimont,0.828
2094,ChIPMunk,0.706
2095,ProBound,0.637
2096,MEME,0.975
2097,Autoseed,0.973
2098,Homer,0.648
2099,STREME,0.642
2100,DimontHTS,0.961
2101,ExplaiNN,0.692
2102,Dimont,0.982
2103,ChIPMunk,0.968
2104,ProBound,0.91
2105,MEME,0.973
2106,Autoseed,0.917
2107,Homer,0.945
2108,STREME,0.968
2109,DimontHTS,0.975
2110,ExplaiNN,0.69
2111,Dimont,0.985
2112,ChIPMunk,0.967
2113,ProBound,0.914
2114,MEME,0.684
2115,Autoseed,0.961
2116,Homer,0.949
2117,STREME,0.971
2118,DimontHTS,0.863
2119,ExplaiNN,0.686
2120,Dimont,0.747
2121,ChIPMunk,0.635
2122,ProBound,0.741
2123,MEME,0.97
2124,Autoseed,0.44
2125,Homer,0.693
2126,STREME,0.662
2127,DimontHTS,0.92
2128,ExplaiNN,0.524
2129,Dimont,0.972
2130,ChIPMunk,0.97
2131,ProBound,0.954
2132,MEME,0.956
2133,Autoseed,0.582
2134,Homer,0.967
2135,STREME,0.967
2136,DimontHTS,0.385
2137,ExplaiNN,0.951
2138,Dimont,0.95
2139,ChIPMunk,0.949
2140,ProBound,0.934
2141,MEME,0.887
2142,Autoseed,0.753
2143,Homer,0.952
2144,STREME,0.952
2145,DimontHTS,0.561
2146,ExplaiNN,0.935
2147,Dimont,0.904
2148,ChIPMunk,0.895
2149,ProBound,0.893
2150,MEME,0.935
2151,Autoseed,0.663
2152,Homer,0.879
2153,STREME,0.885
2154,DimontHTS,0.684
2155,ExplaiNN,0.72
2156,Dimont,0.923
2157,ChIPMunk,0.948
2158,ProBound,0.923
2159,MEME,0.85
2160,Homer,0.949
2161,STREME,0.95
2162,DimontHTS,0.651
2163,ExplaiNN,0.827
2164,Dimont,0.925
2165,ChIPMunk,0.848
2166,ProBound,0.899
2167,MEME,0.65
2168,Homer,0.818
2169,STREME,0.839
2170,ExplaiNN,0.866
2171,Dimont,0.669
2172,ChIPMunk,0.65
2173,ProBound,0.715
2174,MEME,0.961
2175,Homer,0.697
2176,STREME,0.647
2177,ExplaiNN,0.641
2178,Dimont,0.965
2179,ChIPMunk,0.96
2180,ProBound,0.963
2181,MEME,0.976
2182,Homer,0.96
2183,STREME,0.957
2184,ExplaiNN,0.959
2185,Dimont,0.975
2186,ChIPMunk,0.976
2187,ProBound,0.974
2188,MEME,0.888
2189,Homer,0.974
2190,STREME,0.976
2191,ExplaiNN,0.973
2192,Dimont,0.977
2193,ChIPMunk,0.914
2194,ProBound,0.896
2195,MEME,0.958
2196,Homer,0.92
2197,STREME,0.92
2198,ExplaiNN,0.85
2199,Dimont,0.968
2200,ChIPMunk,0.965
2201,ProBound,0.952
2202,MEME,0.421
2203,Homer,0.954
2204,STREME,0.957
2205,ExplaiNN,0.957
2206,Dimont,0.544
2207,ChIPMunk,0.51
2208,ProBound,0.424
2209,MEME,0.58
2210,Homer,0.427
2211,STREME,0.438
2212,ExplaiNN,0.557
2213,Dimont,0.657
2214,ChIPMunk,0.592
2215,ProBound,0.557
2216,MEME,0.766
2217,Homer,0.527
2218,STREME,0.571
2219,ExplaiNN,0.597
2220,Dimont,0.793
2221,ChIPMunk,0.817
2222,ProBound,0.752
2223,MEME,0.698
2224,Homer,0.767
2225,STREME,0.754
2226,ExplaiNN,0.752
2227,Dimont,0.72
2228,ChIPMunk,0.704
2229,ProBound,0.714
2230,Homer,0.694
2231,STREME,0.657
2232,ExplaiNN,0.624
